region_no,region_n,led_no,hour,avail_norm,led_val,subzone_no,subzone_n,subzone_kml
0,CENTRAL REGION,0,0,0.35667762663952596,90,1,UPPER THOMSON,328
0,CENTRAL REGION,0,1,0.3373012066077264,86,1,UPPER THOMSON,328
0,CENTRAL REGION,0,2,0.3282397731412297,83,1,UPPER THOMSON,328
0,CENTRAL REGION,0,3,0.3247790145468289,82,1,UPPER THOMSON,328
0,CENTRAL REGION,0,4,0.319165350928239,81,1,UPPER THOMSON,328
0,CENTRAL REGION,0,5,0.32004491445254246,81,1,UPPER THOMSON,328
0,CENTRAL REGION,0,6,0.32721623805707456,83,1,UPPER THOMSON,328
0,CENTRAL REGION,0,7,0.3585736066794187,91,1,UPPER THOMSON,328
0,CENTRAL REGION,0,8,0.3946801883621539,100,1,UPPER THOMSON,328
0,CENTRAL REGION,0,9,0.5048977694091097,128,1,UPPER THOMSON,328
0,CENTRAL REGION,0,10,0.5832601304950709,148,1,UPPER THOMSON,328
0,CENTRAL REGION,0,11,0.5759448449035159,146,1,UPPER THOMSON,328
0,CENTRAL REGION,0,12,0.5195437176387111,132,1,UPPER THOMSON,328
0,CENTRAL REGION,0,13,0.44708679622619235,114,1,UPPER THOMSON,328
0,CENTRAL REGION,0,14,0.5442028811297184,138,1,UPPER THOMSON,328
0,CENTRAL REGION,0,15,0.603677553851589,153,1,UPPER THOMSON,328
0,CENTRAL REGION,0,16,0.5900909162458717,150,1,UPPER THOMSON,328
0,CENTRAL REGION,0,17,0.616025176290752,157,1,UPPER THOMSON,328
0,CENTRAL REGION,0,18,0.5347811549695026,136,1,UPPER THOMSON,328
0,CENTRAL REGION,0,19,0.4560692551004178,116,1,UPPER THOMSON,328
0,CENTRAL REGION,0,20,0.42340983743090516,107,1,UPPER THOMSON,328
0,CENTRAL REGION,0,21,0.4178116030208413,106,1,UPPER THOMSON,328
0,CENTRAL REGION,0,22,0.3791218347183587,96,1,UPPER THOMSON,328
0,CENTRAL REGION,0,23,0.33492971290382934,85,1,UPPER THOMSON,328
0,CENTRAL REGION,1,0,0.09809760084959175,25,2,MARYMOUNT,331
0,CENTRAL REGION,1,1,0.09332660801893526,23,2,MARYMOUNT,331
0,CENTRAL REGION,1,2,0.11533024858812818,29,2,MARYMOUNT,331
0,CENTRAL REGION,1,3,0.12558475364111388,32,2,MARYMOUNT,331
0,CENTRAL REGION,1,4,0.12262110838612361,31,2,MARYMOUNT,331
0,CENTRAL REGION,1,5,0.12553790165249415,32,2,MARYMOUNT,331
0,CENTRAL REGION,1,6,0.13220131751519382,33,2,MARYMOUNT,331
0,CENTRAL REGION,1,7,0.20626103775971807,52,2,MARYMOUNT,331
0,CENTRAL REGION,1,8,0.3368812172175788,85,2,MARYMOUNT,331
0,CENTRAL REGION,1,9,0.4550445490938005,116,2,MARYMOUNT,331
0,CENTRAL REGION,1,10,0.5022360353546503,128,2,MARYMOUNT,331
0,CENTRAL REGION,1,11,0.5271042737464186,134,2,MARYMOUNT,331
0,CENTRAL REGION,1,12,0.5268337322749603,134,2,MARYMOUNT,331
0,CENTRAL REGION,1,13,0.5283734437088815,134,2,MARYMOUNT,331
0,CENTRAL REGION,1,14,0.5422251794756691,138,2,MARYMOUNT,331
0,CENTRAL REGION,1,15,0.5141304069314695,131,2,MARYMOUNT,331
0,CENTRAL REGION,1,16,0.4786214139075371,122,2,MARYMOUNT,331
0,CENTRAL REGION,1,17,0.4314542954374039,110,2,MARYMOUNT,331
0,CENTRAL REGION,1,18,0.35769843380778,91,2,MARYMOUNT,331
0,CENTRAL REGION,1,19,0.27093808350796267,69,2,MARYMOUNT,331
0,CENTRAL REGION,1,20,0.23785425465162924,60,2,MARYMOUNT,331
0,CENTRAL REGION,1,21,0.20374704917312184,51,2,MARYMOUNT,331
0,CENTRAL REGION,1,22,0.14386355858787295,36,2,MARYMOUNT,331
0,CENTRAL REGION,1,23,0.15332587009110918,39,2,MARYMOUNT,331
0,CENTRAL REGION,2,0,0.20251812084289955,51,3,BISHAN EAST,178
0,CENTRAL REGION,2,1,0.19327310832522107,49,3,BISHAN EAST,178
0,CENTRAL REGION,2,2,0.1966267312527403,50,3,BISHAN EAST,178
0,CENTRAL REGION,2,3,0.19821771088889376,50,3,BISHAN EAST,178
0,CENTRAL REGION,2,4,0.19687230621860907,50,3,BISHAN EAST,178
0,CENTRAL REGION,2,5,0.19239038617158796,49,3,BISHAN EAST,178
0,CENTRAL REGION,2,6,0.21405823004334712,54,3,BISHAN EAST,178
0,CENTRAL REGION,2,7,0.2561472619167345,65,3,BISHAN EAST,178
0,CENTRAL REGION,2,8,0.3438286291685703,87,3,BISHAN EAST,178
0,CENTRAL REGION,2,9,0.4282245668745353,109,3,BISHAN EAST,178
0,CENTRAL REGION,2,10,0.44627086105220365,113,3,BISHAN EAST,178
0,CENTRAL REGION,2,11,0.46308503705168924,118,3,BISHAN EAST,178
0,CENTRAL REGION,2,12,0.46493182452119747,118,3,BISHAN EAST,178
0,CENTRAL REGION,2,13,0.45708745589333327,116,3,BISHAN EAST,178
0,CENTRAL REGION,2,14,0.4760526142536587,121,3,BISHAN EAST,178
0,CENTRAL REGION,2,15,0.4705331013901921,119,3,BISHAN EAST,178
0,CENTRAL REGION,2,16,0.4545464482171804,115,3,BISHAN EAST,178
0,CENTRAL REGION,2,17,0.43431311972340847,110,3,BISHAN EAST,178
0,CENTRAL REGION,2,18,0.3755991700871353,95,3,BISHAN EAST,178
0,CENTRAL REGION,2,19,0.28415633202776003,72,3,BISHAN EAST,178
0,CENTRAL REGION,2,20,0.250867894485678,63,3,BISHAN EAST,178
0,CENTRAL REGION,2,21,0.22629654880240205,57,3,BISHAN EAST,178
0,CENTRAL REGION,2,22,0.20545581530623735,52,3,BISHAN EAST,178
0,CENTRAL REGION,2,23,0.176516709465964,45,3,BISHAN EAST,178
0,CENTRAL REGION,3,0,0.37873091772816386,96,10,BIDADARI,206
0,CENTRAL REGION,3,1,0.3654599241349884,93,10,BIDADARI,206
0,CENTRAL REGION,3,2,0.35774547512550975,91,10,BIDADARI,206
0,CENTRAL REGION,3,3,0.35588254247448703,90,10,BIDADARI,206
0,CENTRAL REGION,3,4,0.35908204094518226,91,10,BIDADARI,206
0,CENTRAL REGION,3,5,0.36590274204979845,93,10,BIDADARI,206
0,CENTRAL REGION,3,6,0.3967391130101761,101,10,BIDADARI,206
0,CENTRAL REGION,3,7,0.49793091937080725,126,10,BIDADARI,206
0,CENTRAL REGION,3,8,0.7044729381429533,179,10,BIDADARI,206
0,CENTRAL REGION,3,9,0.8400185089069006,214,10,BIDADARI,206
0,CENTRAL REGION,3,10,0.8376197150321228,213,10,BIDADARI,206
0,CENTRAL REGION,3,11,0.8066281473031607,205,10,BIDADARI,206
0,CENTRAL REGION,3,12,0.6944714358938137,177,10,BIDADARI,206
0,CENTRAL REGION,3,13,0.6241212593978472,159,10,BIDADARI,206
0,CENTRAL REGION,3,14,0.6941838992072732,177,10,BIDADARI,206
0,CENTRAL REGION,3,15,0.7420488917004567,189,10,BIDADARI,206
0,CENTRAL REGION,3,16,0.7618934178226001,194,10,BIDADARI,206
0,CENTRAL REGION,3,17,0.7008092078000796,178,10,BIDADARI,206
0,CENTRAL REGION,3,18,0.6351252820356936,161,10,BIDADARI,206
0,CENTRAL REGION,3,19,0.5613844233016547,143,10,BIDADARI,206
0,CENTRAL REGION,3,20,0.5017882749849955,127,10,BIDADARI,206
0,CENTRAL REGION,3,21,0.47838779930490816,121,10,BIDADARI,206
0,CENTRAL REGION,3,22,0.44971442516195886,114,10,BIDADARI,206
0,CENTRAL REGION,3,23,0.4058543909877296,103,10,BIDADARI,206
0,CENTRAL REGION,4,0,0.06858474419833141,17,11,SENNETT,100
0,CENTRAL REGION,4,1,0.045745390283660405,11,11,SENNETT,100
0,CENTRAL REGION,4,2,0.019886515676303916,5,11,SENNETT,100
0,CENTRAL REGION,4,3,0.017674913110813324,4,11,SENNETT,100
0,CENTRAL REGION,4,4,0.015597804242241248,3,11,SENNETT,100
0,CENTRAL REGION,4,5,0.023824624866342778,6,11,SENNETT,100
0,CENTRAL REGION,4,6,0.05188058033380777,13,11,SENNETT,100
0,CENTRAL REGION,4,7,0.16008719628826573,40,11,SENNETT,100
0,CENTRAL REGION,4,8,0.4736641588975699,120,11,SENNETT,100
0,CENTRAL REGION,4,9,0.7288833288287503,185,11,SENNETT,100
0,CENTRAL REGION,4,10,0.8262853789035354,210,11,SENNETT,100
0,CENTRAL REGION,4,11,0.8888071834574254,226,11,SENNETT,100
0,CENTRAL REGION,4,12,0.9294372304326469,237,11,SENNETT,100
0,CENTRAL REGION,4,13,0.9358159311264819,238,11,SENNETT,100
0,CENTRAL REGION,4,14,0.9295920167262522,237,11,SENNETT,100
0,CENTRAL REGION,4,15,0.9019541640454941,229,11,SENNETT,100
0,CENTRAL REGION,4,16,0.8733172204724546,222,11,SENNETT,100
0,CENTRAL REGION,4,17,0.8414826762464764,214,11,SENNETT,100
0,CENTRAL REGION,4,18,0.6825375186050806,174,11,SENNETT,100
0,CENTRAL REGION,4,19,0.47372015881700114,120,11,SENNETT,100
0,CENTRAL REGION,4,20,0.3553369717988082,90,11,SENNETT,100
0,CENTRAL REGION,4,21,0.2360943036411136,60,11,SENNETT,100
0,CENTRAL REGION,4,22,0.14718054231103656,37,11,SENNETT,100
0,CENTRAL REGION,4,23,0.08954310283326714,22,11,SENNETT,100
0,CENTRAL REGION,5,0,0.0,0,8,WOODLEIGH,207
0,CENTRAL REGION,6,0,0.04649650255582459,11,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,1,0.02752253161151466,7,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,2,0.013775558245897228,3,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,3,0.013859631423190745,3,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,4,0.01959947538337369,4,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,5,0.01527811407048695,3,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,6,0.034083938660209846,8,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,7,0.10353712671509283,26,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,8,0.21942359429647565,55,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,9,0.32675275760021527,83,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,10,0.3710801721818671,94,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,11,0.38627623083131557,98,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,12,0.37991458165186975,96,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,13,0.36844632768361585,93,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,14,0.3629956954533226,92,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,15,0.37390099542641914,95,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,16,0.355923459779392,90,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,17,0.32089386602098463,81,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,18,0.28035983319881624,71,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,19,0.2061215361850955,52,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,20,0.13846112456281948,35,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,21,0.10451775625504438,26,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,22,0.06799939467312349,17,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,6,23,0.035312079634113536,9,5,LORONG 8 TOA PAYOH,194
0,CENTRAL REGION,7,0,0.2685300275588483,68,3,BRADDELL,205
0,CENTRAL REGION,7,1,0.21939372354186723,55,3,BRADDELL,205
0,CENTRAL REGION,7,2,0.18913299894466543,48,3,BRADDELL,205
0,CENTRAL REGION,7,3,0.18055590880744068,46,3,BRADDELL,205
0,CENTRAL REGION,7,4,0.17574244660781968,44,3,BRADDELL,205
0,CENTRAL REGION,7,5,0.17280256088978904,44,3,BRADDELL,205
0,CENTRAL REGION,7,6,0.19984676615886818,50,3,BRADDELL,205
0,CENTRAL REGION,7,7,0.30550000994739973,77,3,BRADDELL,205
0,CENTRAL REGION,7,8,0.4597209354534688,117,3,BRADDELL,205
0,CENTRAL REGION,7,9,0.563359825924406,143,3,BRADDELL,205
0,CENTRAL REGION,7,10,0.5260307082730639,134,3,BRADDELL,205
0,CENTRAL REGION,7,11,0.49843185420050734,127,3,BRADDELL,205
0,CENTRAL REGION,7,12,0.4103622810466797,104,3,BRADDELL,205
0,CENTRAL REGION,7,13,0.5220787266470163,133,3,BRADDELL,205
0,CENTRAL REGION,7,14,0.5631877651664687,143,3,BRADDELL,205
0,CENTRAL REGION,7,15,0.5831624834925178,148,3,BRADDELL,205
0,CENTRAL REGION,7,16,0.563704875539175,143,3,BRADDELL,205
0,CENTRAL REGION,7,17,0.5341785258525766,136,3,BRADDELL,205
0,CENTRAL REGION,7,18,0.4359672487390858,111,3,BRADDELL,205
0,CENTRAL REGION,7,19,0.3463223601811701,88,3,BRADDELL,205
0,CENTRAL REGION,7,20,0.34704263806600705,88,3,BRADDELL,205
0,CENTRAL REGION,7,21,0.3385694673733091,86,3,BRADDELL,205
0,CENTRAL REGION,7,22,0.2770859323353166,70,3,BRADDELL,205
0,CENTRAL REGION,7,23,0.2095943954269528,53,3,BRADDELL,205
0,CENTRAL REGION,8,0,0.5320468323292534,135,1,TOA PAYOH WEST,210
0,CENTRAL REGION,8,1,0.5340433742878613,136,1,TOA PAYOH WEST,210
0,CENTRAL REGION,8,2,0.56825059029361,144,1,TOA PAYOH WEST,210
0,CENTRAL REGION,8,3,0.5440681574722176,138,1,TOA PAYOH WEST,210
0,CENTRAL REGION,8,4,0.5871612715780877,149,1,TOA PAYOH WEST,210
0,CENTRAL REGION,8,5,0.4510366251091167,115,1,TOA PAYOH WEST,210
0,CENTRAL REGION,8,6,0.5136817083634375,130,1,TOA PAYOH WEST,210
