station_code,station_name,agency,subzone_kml,subzone_name,region_name,region_num
BP1,CHOA CHU KANG,MRT,245,CHOA CHU KANG CENTRAL,WEST REGION,4
BP1,CHOA CHU KANG,LRT,245,CHOA CHU KANG CENTRAL,WEST REGION,4
BP10,FAJAR,LRT,246,FAJAR,WEST REGION,4
BP11,SEGAR,LRT,248,SAUJANA,WEST REGION,4
BP12,JELEPANG,LRT,248,SAUJANA,WEST REGION,4
BP13,SENJA,LRT,247,SENJA,WEST REGION,4
BP2,SOUTH VIEW,LRT,245,CHOA CHU KANG CENTRAL,WEST REGION,4
BP3,KEAT HONG,LRT,244,TECK WHYE,WEST REGION,4
BP4,TECK WHYE,LRT,244,TECK WHYE,WEST REGION,4
BP5,PHOENIX,LRT,244,TECK WHYE,WEST REGION,4
BP6,BUKIT PANJANG,MRT,221,GOMBAK,WEST REGION,4
BP6,BUKIT PANJANG,MRT,172,JELEBU,WEST REGION,4
BP6,BUKIT PANJANG,MRT,244,TECK WHYE,WEST REGION,4
BP6,BUKIT PANJANG,MRT,247,SENJA,WEST REGION,4
BP6,BUKIT PANJANG,LRT,172,JELEBU,WEST REGION,4
BP7,PETIR,LRT,172,JELEBU,WEST REGION,4
BP8,PENDING,LRT,230,BANGKIT,WEST REGION,4
BP9,BANGKIT,LRT,230,BANGKIT,WEST REGION,4
CC1,DHOBY GHAUT,MRT,92,DHOBY GHAUT,CENTRAL REGION,0
CC10,MACPHERSON,MRT,93,MACPHERSON,CENTRAL REGION,0
CC10,MACPHERSON,MRT,99,KAMPONG UBI,CENTRAL REGION,0
CC11,TAI SENG,MRT,192,JOO SENG,CENTRAL REGION,0
CC11,TAI SENG,MRT,202,TAI SENG,NORTH-EAST REGION,3
CC12,BARTLEY,MRT,206,BIDADARI,CENTRAL REGION,0
CC12,BARTLEY,MRT,201,UPPER PAYA LEBAR,NORTH-EAST REGION,3
CC13,SERANGOON,MRT,177,SERANGOON CENTRAL,NORTH-EAST REGION,3
CC13,SERANGOON,MRT,201,UPPER PAYA LEBAR,NORTH-EAST REGION,3
CC14,LORONG CHUAN,MRT,260,LORONG CHUAN,NORTH-EAST REGION,3
CC14,LORONG CHUAN,MRT,177,SERANGOON CENTRAL,NORTH-EAST REGION,3
CC15,BISHAN,MRT,178,BISHAN EAST,CENTRAL REGION,0
CC16,MARYMOUNT,MRT,328,UPPER THOMSON,CENTRAL REGION,0
CC16,MARYMOUNT,MRT,331,MARYMOUNT,CENTRAL REGION,0
CC17,CALDECOTT,MRT,210,TOA PAYOH WEST,CENTRAL REGION,0
CC19,BOTANIC GARDENS,MRT,139,TYERSALL,CENTRAL REGION,0
CC2,BRAS BASAH,MRT,78,BRAS BASAH,CENTRAL REGION,0
CC20,FARRER ROAD,MRT,139,TYERSALL,CENTRAL REGION,0
CC20,FARRER ROAD,MRT,133,FARRER COURT,CENTRAL REGION,0
CC21,HOLLAND VILLAGE,MRT,227,HOLLAND DRIVE,CENTRAL REGION,0
CC21,HOLLAND VILLAGE,MRT,120,LEEDON PARK,CENTRAL REGION,0
CC22,BUONA VISTA,MRT,70,ONE NORTH,CENTRAL REGION,0
CC23,ONE NORTH,MRT,70,ONE NORTH,CENTRAL REGION,0
CC24,KENT RIDGE,MRT,65,KENT RIDGE,CENTRAL REGION,0
CC24,KENT RIDGE,MRT,51,NATIONAL UNIVERSITY OF S'PORE,CENTRAL REGION,0
CC25,HAW PAR VILLA,MRT,91,PORT,CENTRAL REGION,0
CC25,HAW PAR VILLA,MRT,25,PASIR PANJANG 1,CENTRAL REGION,0
CC26,PASIR PANJANG,MRT,91,PORT,CENTRAL REGION,0
CC27,LABRADOR PARK,MRT,35,MARITIME SQUARE,CENTRAL REGION,0
CC27,LABRADOR PARK,MRT,43,TELOK BLANGAH DRIVE,CENTRAL REGION,0
CC28,TELOK BLANGAH,MRT,35,MARITIME SQUARE,CENTRAL REGION,0
CC29,HARBOURFRONT,MRT,35,MARITIME SQUARE,CENTRAL REGION,0
CC3,ESPLANADE,MRT,88,CITY HALL,CENTRAL REGION,0
CC3,ESPLANADE,MRT,77,MARINA CENTRE,CENTRAL REGION,0
CC4,PROMENADE,MRT,77,MARINA CENTRE,CENTRAL REGION,0
CC5,NICOLL HIGHWAY,MRT,12,NICOLL,CENTRAL REGION,0
CC6,STADIUM,MRT,71,TANJONG RHU,CENTRAL REGION,0
CC7,MOUNTBATTEN,MRT,71,TANJONG RHU,CENTRAL REGION,0
CC7,MOUNTBATTEN,MRT,301,ALJUNIED,CENTRAL REGION,0
CC8,DAKOTA,MRT,301,ALJUNIED,CENTRAL REGION,0
CC9,PAYA LEBAR,MRT,301,ALJUNIED,CENTRAL REGION,0
CC9,PAYA LEBAR,MRT,121,GEYLANG EAST,CENTRAL REGION,0
CE1,BAYFRONT,MRT,8,BAYFRONT SUBZONE,CENTRAL REGION,0
CE2,MARINA BAY,MRT,45,CENTRAL SUBZONE,CENTRAL REGION,0
CE2,MARINA BAY,MRT,34,STRAITS VIEW,CENTRAL REGION,0
CG1,EXPO,MRT,154,XILIN,EAST REGION,1
CG2,CHANGI AIRPORT,MRT,298,CHANGI AIRPORT,EAST REGION,1
DT1,BUKIT PANJANG,LRT,172,JELEBU,WEST REGION,4
DT1,BUKIT PANJANG,MRT,221,GOMBAK,WEST REGION,4
DT1,BUKIT PANJANG,MRT,172,JELEBU,WEST REGION,4
DT1,BUKIT PANJANG,MRT,244,TECK WHYE,WEST REGION,4
DT1,BUKIT PANJANG,MRT,247,SENJA,WEST REGION,4
DT10,STEVENS,MRT,134,NASSIM,CENTRAL REGION,0
DT10,STEVENS,MRT,156,MALCOLM,CENTRAL REGION,0
DT11,NEWTON,MRT,108,NEWTON CIRCUS,CENTRAL REGION,0
DT12,LITTLE INDIA,MRT,68,MACKENZIE,CENTRAL REGION,0
DT12,LITTLE INDIA,MRT,107,FARRER PARK,CENTRAL REGION,0
DT12,LITTLE INDIA,MRT,129,KAMPONG JAVA,CENTRAL REGION,0
DT13,ROCHOR,MRT,80,BENCOOLEN,CENTRAL REGION,0
DT13,ROCHOR,MRT,75,LITTLE INDIA,CENTRAL REGION,0
DT14,BUGIS,MRT,47,BUGIS,CENTRAL REGION,0
DT14,BUGIS,MRT,48,VICTORIA,CENTRAL REGION,0
DT15,PROMENADE,MRT,77,MARINA CENTRE,CENTRAL REGION,0
DT16,BAYFRONT,MRT,8,BAYFRONT SUBZONE,CENTRAL REGION,0
DT17,DOWNTOWN,MRT,45,CENTRAL SUBZONE,CENTRAL REGION,0
DT18,TELOK AYER,MRT,3,CHINATOWN,CENTRAL REGION,0
DT18,TELOK AYER,MRT,5,RAFFLES PLACE,CENTRAL REGION,0
DT18,TELOK AYER,MRT,6,CHINA SQUARE,CENTRAL REGION,0
DT19,CHINATOWN,MRT,3,CHINATOWN,CENTRAL REGION,0
DT19,CHINATOWN,MRT,299,PEOPLE'S PARK,CENTRAL REGION,0
DT19,CHINATOWN,MRT,6,CHINA SQUARE,CENTRAL REGION,0
DT19,CHINATOWN,MRT,18,PEARL'S HILL,CENTRAL REGION,0
DT2,CASHEW,MRT,167,DAIRY FARM,WEST REGION,4
DT2,CASHEW,MRT,221,GOMBAK,WEST REGION,4
DT2,CASHEW,MRT,172,JELEBU,WEST REGION,4
DT20,RIVER VALLEY,MRT,24,CLARKE QUAY,CENTRAL REGION,0
DT20,RIVER VALLEY,MRT,17,FORT CANNING,CENTRAL REGION,0
DT21,BENCOOLEN,MRT,78,BRAS BASAH,CENTRAL REGION,0
DT21,BENCOOLEN,MRT,48,VICTORIA,CENTRAL REGION,0
DT21,BENCOOLEN,MRT,80,BENCOOLEN,CENTRAL REGION,0
DT22,JALAN BESAR,MRT,75,LITTLE INDIA,CENTRAL REGION,0
DT22,JALAN BESAR,MRT,69,SUNGEI ROAD,CENTRAL REGION,0
DT23,BENDEMEER,MRT,131,KALLANG BAHRU,CENTRAL REGION,0
DT24,GEYLANG BAHRU,MRT,124,GEYLANG BAHRU,CENTRAL REGION,0
DT25,MATTAR,MRT,93,MACPHERSON,CENTRAL REGION,0
DT26,MACPHERSON,MRT,93,MACPHERSON,CENTRAL REGION,0
DT26,MACPHERSON,MRT,99,KAMPONG UBI,CENTRAL REGION,0
DT27,UBI,MRT,99,KAMPONG UBI,CENTRAL REGION,0
DT28,KAKI BUKIT,MRT,211,KAKI BUKIT,EAST REGION,1
DT29,BEDOK NORTH,MRT,211,KAKI BUKIT,EAST REGION,1
DT29,BEDOK NORTH,MRT,215,BEDOK RESERVOIR,EAST REGION,1
