subzone_kml,subzone_no,subzone_n,led_no,region_no,region_n
1,12,DEPOT ROAD,108,0,CENTRAL REGION
2,2,BUKIT MERAH,107,0,CENTRAL REGION
3,3,CHINATOWN,115,0,CENTRAL REGION
4,4,PHILLIP,102,0,CENTRAL REGION
5,5,RAFFLES PLACE,101,0,CENTRAL REGION
6,4,CHINA SQUARE,103,0,CENTRAL REGION
7,10,TIONG BAHRU,104,0,CENTRAL REGION
8,12,BAYFRONT SUBZONE,112,0,CENTRAL REGION
9,4,TIONG BAHRU STATION,105,0,CENTRAL REGION
10,6,CLIFFORD PIER,90,0,CENTRAL REGION
11,1,MARINA SOUTH,111,0,CENTRAL REGION
12,13,NICOLL,53,0,CENTRAL REGION
13,1,MARINA EAST,78,0,CENTRAL REGION
14,5,INSTITUTION HILL,94,0,CENTRAL REGION
15,1,ROBERTSON QUAY,93,0,CENTRAL REGION
17,2,FORT CANNING,82,0,CENTRAL REGION
18,1,PEARL'S HILL,116,0,CENTRAL REGION
19,3,BOAT QUAY,91,0,CENTRAL REGION
20,8,HENDERSON HILL,96,0,CENTRAL REGION
21,3,REDHILL,97,0,CENTRAL REGION
22,7,ALEXANDRA HILL,98,0,CENTRAL REGION
23,9,BUKIT HO SWEE,85,0,CENTRAL REGION
24,2,CLARKE QUAY,92,0,CENTRAL REGION
25,13,PASIR PANJANG 1,121,0,CENTRAL REGION
26,7,QUEENSWAY,109,0,CENTRAL REGION
27,5,MARINA EAST (MP),65,0,CENTRAL REGION
30,2,SOUTHERN GROUP,133,0,CENTRAL REGION
31,1,SENTOSA,134,0,CENTRAL REGION
32,17,CITY TERMINALS,130,0,CENTRAL REGION
33,10,ANSON,125,0,CENTRAL REGION
34,1,STRAITS VIEW,122,0,CENTRAL REGION
35,1,MARITIME SQUARE,131,0,CENTRAL REGION
36,15,TELOK BLANGAH RISE,127,0,CENTRAL REGION
37,9,TANJONG PAGAR,124,0,CENTRAL REGION
38,16,EVERTON PARK,117,0,CENTRAL REGION
39,14,TELOK BLANGAH WAY,119,0,CENTRAL REGION
40,7,MAXWELL,114,0,CENTRAL REGION
41,8,CECIL,113,0,CENTRAL REGION
42,11,KAMPONG TIONG BAHRU,118,0,CENTRAL REGION
43,13,TELOK BLANGAH DRIVE,128,0,CENTRAL REGION
44,14,PASIR PANJANG 2,129,0,CENTRAL REGION
45,11,CENTRAL SUBZONE,123,0,CENTRAL REGION
46,5,SINGAPORE GENERAL HOSPITAL,106,0,CENTRAL REGION
47,1,BUGIS,66,0,CENTRAL REGION
48,10,VICTORIA,67,0,CENTRAL REGION
49,2,PATERSON,84,0,CENTRAL REGION
50,4,EAST COAST,51,0,CENTRAL REGION
51,11,NATIONAL UNIVERSITY OF S'PORE,110,0,CENTRAL REGION
52,1,ONE TREE HILL,73,0,CENTRAL REGION
53,3,COMMONWEALTH,75,0,CENTRAL REGION
54,10,DOVER,100,0,CENTRAL REGION
55,3,RIDOUT,62,0,CENTRAL REGION
56,4,CAIRNHILL,59,0,CENTRAL REGION
58,5,MONK'S HILL,45,0,CENTRAL REGION
63,1,ORANGE GROVE,47,0,CENTRAL REGION
64,4,KAMPONG BUGIS,40,0,CENTRAL REGION
65,12,KENT RIDGE,120,0,CENTRAL REGION
66,6,ALEXANDRA NORTH,86,0,CENTRAL REGION
67,4,TANGLIN HALT,88,0,CENTRAL REGION
68,6,MACKENZIE,57,0,CENTRAL REGION
69,3,SUNGEI ROAD,56,0,CENTRAL REGION
70,8,ONE NORTH,89,0,CENTRAL REGION
71,5,TANJONG RHU,52,0,CENTRAL REGION
72,2,KATONG,26,0,CENTRAL REGION
73,2,BOULEVARD,60,0,CENTRAL REGION
74,6,ISTANA NEGARA,58,0,CENTRAL REGION
75,2,LITTLE INDIA,43,0,CENTRAL REGION
77,3,MARINA CENTRE,79,0,CENTRAL REGION
78,3,BRAS BASAH,81,0,CENTRAL REGION
79,3,SOMERSET,72,0,CENTRAL REGION
80,9,BENCOOLEN,68,0,CENTRAL REGION
81,2,CHATSWORTH,74,0,CENTRAL REGION
82,5,KAMPONG GLAM,54,0,CENTRAL REGION
83,8,SELEGIE,69,0,CENTRAL REGION
84,7,MOUNT EMILY,70,0,CENTRAL REGION
85,4,ROCHOR CANAL,55,0,CENTRAL REGION
